"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 20 05:06:22 UTC 2026","Wed May 20 05:06:26 UTC 2026","4327","","TC_GlobalSearch_010 - Verify under RECENT SEARCH displays last 5 searched texts (latest -> oldest).","","","","should search global search with value ""abcdef"" and verify",""
"passed","Wed May 20 05:08:27 UTC 2026","Wed May 20 05:08:29 UTC 2026","2088","","TC_Services_008 - Verify Search Microchipping is successful","","","","should go to the Serive Microchip",""
"passed","Wed May 20 05:09:16 UTC 2026","Wed May 20 05:09:21 UTC 2026","5162","","TC_TPM_001_002_003 - Verify Term Apply in Thrive Plus Membership Section","","","","user back to pop up and click Terms Apply",""
"passed","Wed May 20 05:08:20 UTC 2026","Wed May 20 05:08:21 UTC 2026","846","","TC_Services_001_002_003_004_005_006_007 -  Verify the leaf level service pages","","","","verify displayed Clinic Location Near Me",""
"passed","Wed May 20 05:11:53 UTC 2026","Wed May 20 05:11:54 UTC 2026","1275","","TC_TPM_010 - Verify Select Clinic To See Pricing in Thrive Plus Membership Section","","","","should navigate to the Thrive Plus Membership",""
"passed","Wed May 20 05:03:47 UTC 2026","Wed May 20 05:03:58 UTC 2026","11070","","TC_Careers_001 - Verify Careers in header","","","","should open the page",""
"passed","Wed May 20 05:06:58 UTC 2026","Wed May 20 05:07:00 UTC 2026","2416","","TC_GlobalSearch_010 - Verify under RECENT SEARCH displays last 5 searched texts (latest -> oldest).","","","","should verify recent search",""
"passed","Wed May 20 05:06:46 UTC 2026","Wed May 20 05:06:52 UTC 2026","5937","","TC_GlobalSearch_010 - Verify under RECENT SEARCH displays last 5 searched texts (latest -> oldest).","","","","should search global search with value ""animal"" and verify",""
"passed","Wed May 20 05:10:44 UTC 2026","Wed May 20 05:10:53 UTC 2026","9198","","TC_TPM_007 -  Verify Scroll to view savings in Thrive Plus Membership","","","","should open the page",""
"passed","Wed May 20 05:07:54 UTC 2026","Wed May 20 05:07:59 UTC 2026","5271","","TC_Services_001_002_003_004_005_006_007 -  Verify the leaf level service pages","","","","should click location finder",""
"passed","Wed May 20 05:07:16 UTC 2026","Wed May 20 05:07:17 UTC 2026","1310","","TC_Resources_001_002_003_004 - Verify UI in Resources","","","","verify item in Resource page",""
"passed","Wed May 20 05:11:11 UTC 2026","Wed May 20 05:11:15 UTC 2026","3499","","TC_TPM_008 - Verify View Full Terms and Conditions Here in Thrive Plus Membership Section","","","","should verify the term apply",""
"passed","Wed May 20 05:04:13 UTC 2026","Wed May 20 05:04:15 UTC 2026","2363","","TC_GlobalSearch_001_002_003_004_005_006 - Verify Quick Links in Global Search","","","","should click on global search glass icon and verify",""
"passed","Wed May 20 05:06:36 UTC 2026","Wed May 20 05:06:42 UTC 2026","6131","","TC_GlobalSearch_010 - Verify under RECENT SEARCH displays last 5 searched texts (latest -> oldest).","","","","should click Retry Search",""
"passed","Wed May 20 05:10:14 UTC 2026","Wed May 20 05:10:19 UTC 2026","4579","","TC_TPM_005 -[Member] Verify Manage your membership in Thrive Plus Membership","","","","user should click Manage Your Membership and verify Navigated to My Account",""
"passed","Wed May 20 05:07:21 UTC 2026","Wed May 20 05:07:28 UTC 2026","7165","","TC_Resources_001_002_003_004 - Verify UI in Resources","","","","should click Explore Topics and then verify Loading Icon is dispalyed",""
"passed","Wed May 20 05:04:02 UTC 2026","Wed May 20 05:04:13 UTC 2026","11128","","TC_GlobalSearch_001_002_003_004_005_006 - Verify Quick Links in Global Search","","","","should open the page",""
"passed","Wed May 20 05:05:17 UTC 2026","Wed May 20 05:05:27 UTC 2026","9522","","TC_GlobalSearch_008 -Verify Search is not found in Global Search","","","","should open the page",""
"passed","Wed May 20 05:08:29 UTC 2026","Wed May 20 05:08:35 UTC 2026","6037","","TC_Services_008 - Verify Search Microchipping is successful","","","","should enter valid microchip number and verify displayed ""Microchip ID""",""
"passed","Wed May 20 05:09:02 UTC 2026","Wed May 20 05:09:16 UTC 2026","13482","","TC_TPM_001_002_003 - Verify Term Apply in Thrive Plus Membership Section","","","","search with clinic and enroll pet with Thrive clinic",""
